2.72E+00,8.06E-01,,,
2.72E+00,8.59E-01,,,
2.72E+00,8.42E-01,,,
2.71E+00,8.20E-01,,,
2.71E+00,6.99E-01,,,
2.70E+00,4.80E-01,,,
2.70E+00,2.50E-01,,,
2.69E+00,1.57E-01,,,
2.69E+00,1.37E-01,,,
2.63E+00,1.66E-01,,,
2.61E+00,1.11E+00,,,
2.61E+00,1.06E+00,,,
2.61E+00,1.14E+00,,,
2.60E+00,1.08E+00,,,
2.60E+00,1.06E+00,,,
2.60E+00,1.01E+00,,,
2.60E+00,1.08E+00,,,
2.61E+00,1.10E+00,,,
2.61E+00,1.06E+00,,,
2.90E+00,4.93E-02,,,
2.89E+00,6.54E-02,,,
2.88E+00,8.15E-02,,,
2.88E+00,8.37E-02,,,
2.87E+00,8.51E-02,,,
2.86E+00,7.48E-02,,,
2.85E+00,2.15E-01,,,
2.84E+00,2.87E-01,,,
2.84E+00,3.14E-01,,,
2.83E+00,3.48E-01,,,
2.83E+00,2.93E-01,,,
2.82E+00,2.03E-01,,,
2.81E+00,6.29E-02,,,
2.81E+00,7.03E-02,,,
2.80E+00,7.88E-02,,,
2.79E+00,7.91E-02,,,
2.79E+00,8.72E-02,,,
2.78E+00,7.18E-02,,,
2.77E+00,8.22E-02,,,
2.77E+00,1.18E-01,,,
2.76E+00,1.73E-01,,,
2.76E+00,1.95E-01,,,
2.75E+00,1.53E-01,,,
2.75E+00,1.18E-01,,,
2.74E+00,1.23E-01,,,
2.74E+00,3.03E-01,,,
2.73E+00,5.86E-01,,,
2.73E+00,6.98E-01,,,
2.72E+00,7.84E-01,,,
2.72E+00,8.42E-01,,,
2.72E+00,8.66E-01,,,
2.71E+00,8.63E-01,,,
2.71E+00,8.18E-01,,,
2.71E+00,7.48E-01,,,
2.70E+00,5.40E-01,,,
2.70E+00,2.54E-01,,,
2.69E+00,7.90E-02,,,
2.68E+00,2.04E-01,,,
2.68E+00,2.04E-01,,,
2.67E+00,1.43E-01,,,
2.67E+00,9.09E-02,,,
2.66E+00,7.75E-02,,,
2.65E+00,1.51E-01,,,
2.65E+00,2.00E-01,,,
2.65E+00,2.27E-01,,,
2.64E+00,2.02E-01,,,
2.64E+00,1.29E-01,,,
2.63E+00,1.29E-01,,,
2.63E+00,2.86E-01,,,
2.62E+00,5.72E-01,,,
2.62E+00,9.00E-01,,,
2.61E+00,1.02E+00,,,
2.61E+00,1.11E+00,,,
2.61E+00,1.13E+00,,,
2.60E+00,1.12E+00,,,
2.60E+00,1.02E+00,,,
2.60E+00,1.04E+00,,,
2.60E+00,9.04E-01,,,
2.59E+00,6.75E-01,,,
2.59E+00,6.48E-01,,,
2.59E+00,3.08E-01,,,
2.58E+00,1.11E-01,,,
2.57E+00,2.36E-01,,,
2.57E+00,2.53E-01,,,
2.56E+00,2.13E-01,,,
2.57E+00,2.67E-01,,,
2.57E+00,2.54E-01,,,
2.58E+00,1.90E-01,,,
2.58E+00,1.96E-01,,,
2.57E+00,2.73E-01,,,
2.56E+00,2.08E-01,,,
2.56E+00,1.16E-01,,,
2.55E+00,5.83E-02,,,
2.55E+00,1.13E-01,,,
2.54E+00,1.76E-01,,,
2.54E+00,1.90E-01,,,
2.54E+00,1.85E-01,,,
2.53E+00,1.68E-01,,,
2.53E+00,1.28E-01,,,
2.52E+00,1.27E-01,,,
2.52E+00,2.29E-01,,,
2.52E+00,2.11E-01,,,
2.51E+00,3.54E-01,,,
2.51E+00,4.72E-01,,,
2.51E+00,6.24E-01,,,
2.50E+00,7.59E-01,,,
2.50E+00,8.18E-01,,,
2.50E+00,8.00E-01,,,
2.50E+00,7.68E-01,,,
2.50E+00,8.08E-01,,,
2.50E+00,8.36E-01,,,
2.49E+00,8.16E-01,,,
2.49E+00,7.92E-01,,,
2.49E+00,6.96E-01,,,
2.49E+00,6.95E-01,,,
2.48E+00,5.30E-01,,,
2.48E+00,2.94E-01,,,
2.47E+00,1.26E-01,,,
2.47E+00,1.11E-01,,,
2.46E+00,1.90E-01,,,
2.46E+00,2.01E-01,,,
2.45E+00,1.84E-01,,,
2.45E+00,1.40E-01,,,
2.44E+00,9.41E-02,,,
2.44E+00,5.33E-02,,,
2.44E+00,5.59E-02,,,
2.43E+00,8.16E-02,,,
2.42E+00,7.34E-02,,,
2.42E+00,8.54E-02,,,
2.41E+00,8.50E-02,,,
2.41E+00,1.09E-01,,,
2.40E+00,1.81E-01,,,
2.40E+00,2.15E-01,,,
2.39E+00,2.38E-01,,,
2.39E+00,2.57E-01,,,
2.39E+00,2.64E-01,,,
2.39E+00,2.67E-01,,,
2.39E+00,2.68E-01,,,
2.38E+00,2.86E-01,,,
2.38E+00,3.07E-01,,,
2.38E+00,3.21E-01,,,
2.37E+00,3.17E-01,,,
2.37E+00,3.02E-01,,,
2.37E+00,2.85E-01,,,
2.37E+00,2.72E-01,,,
2.37E+00,2.61E-01,,,
2.36E+00,2.48E-01,,,
2.36E+00,2.04E-01,,,
2.35E+00,1.41E-01,,,
2.35E+00,9.64E-02,,,
2.34E+00,6.40E-02,,,
2.34E+00,7.35E-02,,,
2.33E+00,8.19E-02,,,
2.33E+00,9.10E-02,,,
2.32E+00,7.71E-02,,,
2.32E+00,6.05E-02,,,
2.31E+00,7.23E-02,,,
2.31E+00,2.19E-01,,,