Voltage_6,Current_6,,
2.90E+00,4.86E-02,,
2.89E+00,6.02E-02,,
2.89E+00,9.54E-02,,
2.88E+00,9.61E-02,,
2.87E+00,1.19E-01,,
2.87E+00,1.43E-01,,
2.87E+00,1.35E-01,,
2.86E+00,1.14E-01,,
2.86E+00,1.16E-01,,
2.86E+00,1.61E-01,,
2.85E+00,2.29E-01,,
2.85E+00,3.34E-01,,
2.85E+00,3.82E-01,,
2.84E+00,4.10E-01,,
2.84E+00,4.49E-01,,
2.84E+00,4.58E-01,,
2.84E+00,4.57E-01,,
2.84E+00,4.31E-01,,
2.83E+00,3.85E-01,,
2.83E+00,2.99E-01,,
2.82E+00,1.34E-01,,
2.82E+00,8.19E-02,,
2.81E+00,1.65E-01,,
2.81E+00,1.79E-01,,
2.80E+00,1.22E-01,,
2.80E+00,5.25E-02,,
2.79E+00,4.77E-02,,
2.79E+00,5.87E-02,,
2.78E+00,1.13E-01,,
2.77E+00,1.18E-01,,
2.76E+00,5.69E-02,,
2.76E+00,9.22E-02,,
2.75E+00,2.29E-01,,
2.75E+00,3.03E-01,,
2.74E+00,2.78E-01,,
2.74E+00,2.91E-01,,
2.74E+00,3.27E-01,,
2.73E+00,5.91E-01,,
2.73E+00,1.03E+00,,
2.73E+00,9.02E-01,,
2.73E+00,6.71E-01,,
2.73E+00,9.26E-01,,
2.72E+00,1.17E+00,,
2.72E+00,1.14E+00,,
2.72E+00,1.14E+00,,
2.72E+00,1.17E+00,,
2.72E+00,1.17E+00,,
2.72E+00,1.13E+00,,
2.71E+00,9.64E-01,,
2.71E+00,8.15E-01,,
2.71E+00,5.44E-01,,
2.70E+00,2.50E-01,,
2.70E+00,2.94E-01,,
2.69E+00,3.24E-01,,
2.68E+00,1.58E-01,,
2.67E+00,1.34E-01,,
2.67E+00,1.04E-01,,
2.66E+00,1.24E-01,,
2.66E+00,2.05E-01,,
2.65E+00,1.56E-01,,
2.64E+00,1.71E-01,,
2.64E+00,3.50E-01,,
2.63E+00,3.93E-01,,
2.63E+00,3.71E-01,,
2.63E+00,3.32E-01,,
2.63E+00,3.38E-01,,
2.63E+00,4.11E-01,,
2.62E+00,4.87E-01,,
2.62E+00,6.62E-01,,
2.62E+00,8.33E-01,,
2.62E+00,9.69E-01,,
2.62E+00,1.06E+00,,
2.62E+00,1.20E+00,,
2.62E+00,1.19E+00,,
2.61E+00,1.29E+00,,
2.61E+00,1.38E+00,,
2.61E+00,1.43E+00,,
2.61E+00,1.46E+00,,
2.61E+00,1.49E+00,,
2.61E+00,1.46E+00,,
2.61E+00,1.45E+00,,
2.60E+00,1.36E+00,,
2.60E+00,1.25E+00,,
2.60E+00,1.11E+00,,
2.60E+00,9.83E-01,,
2.60E+00,7.34E-01,,
2.59E+00,5.49E-01,,
2.59E+00,3.85E-01,,
2.59E+00,3.86E-01,,
2.59E+00,2.97E-01,,
2.59E+00,3.19E-01,,
2.59E+00,3.41E-01,,
2.58E+00,3.89E-01,,
2.58E+00,4.16E-01,,
2.58E+00,3.88E-01,,
2.58E+00,2.95E-01,,
2.57E+00,2.24E-01,,
2.57E+00,1.85E-01,,
2.57E+00,1.65E-01,,
2.57E+00,2.07E-01,,
2.56E+00,2.20E-01,,
2.56E+00,2.13E-01,,
2.56E+00,1.62E-01,,
2.56E+00,1.06E-01,,
2.55E+00,7.92E-02,,
2.55E+00,6.44E-02,,
2.55E+00,8.84E-02,,
2.55E+00,1.40E-01,,
2.55E+00,1.81E-01,,
2.54E+00,1.72E-01,,
2.54E+00,1.64E-01,,
2.54E+00,1.29E-01,,
2.54E+00,9.39E-02,,
2.53E+00,1.51E-01,,
2.53E+00,1.61E-01,,
2.53E+00,2.13E-01,,
2.53E+00,2.92E-01,,
2.53E+00,3.19E-01,,
2.52E+00,3.27E-01,,
2.52E+00,3.30E-01,,
2.52E+00,3.33E-01,,
2.52E+00,2.66E-01,,
2.52E+00,2.83E-01,,
2.51E+00,3.09E-01,,
2.51E+00,4.30E-01,,
2.51E+00,5.18E-01,,
2.51E+00,6.50E-01,,
2.51E+00,7.72E-01,,
2.51E+00,8.05E-01,,
2.50E+00,9.16E-01,,
2.50E+00,9.86E-01,,
2.50E+00,1.13E+00,,
2.50E+00,1.13E+00,,
2.50E+00,1.10E+00,,
2.50E+00,1.14E+00,,
2.50E+00,1.12E+00,,
2.50E+00,1.09E+00,,
2.50E+00,1.13E+00,,
2.50E+00,1.17E+00,,
2.50E+00,1.18E+00,,
2.50E+00,1.11E+00,,
2.49E+00,1.08E+00,,
2.49E+00,1.04E+00,,
2.49E+00,9.73E-01,,
2.49E+00,8.52E-01,,
2.49E+00,7.77E-01,,
2.49E+00,6.49E-01,,
2.48E+00,4.62E-01,,
2.48E+00,3.24E-01,,
2.48E+00,2.05E-01,,
2.48E+00,2.01E-01,,
2.48E+00,2.28E-01,,
2.47E+00,3.18E-01,,
2.47E+00,3.12E-01,,
2.47E+00,3.19E-01,,
2.47E+00,3.25E-01,,
2.47E+00,3.21E-01,,
2.47E+00,3.01E-01,,
2.47E+00,3.15E-01,,
2.47E+00,3.03E-01,,
2.46E+00,2.56E-01,,
2.46E+00,1.61E-01,,
2.46E+00,1.26E-01,,
2.46E+00,1.25E-01,,
2.45E+00,1.38E-01,,
2.45E+00,1.44E-01,,
2.45E+00,1.24E-01,,
2.44E+00,9.65E-02,,
2.44E+00,6.67E-02,,
2.44E+00,5.15E-02,,
2.43E+00,4.50E-02,,
2.43E+00,4.95E-02,,
2.43E+00,4.74E-02,,
2.43E+00,5.39E-02,,
2.43E+00,4.49E-02,,
2.42E+00,6.23E-02,,
2.42E+00,7.73E-02,,
2.41E+00,1.54E-01,,
2.41E+00,1.47E-01,,
2.42E+00,1.33E-01,,
2.42E+00,9.06E-02,,
2.42E+00,1.12E-01,,
2.42E+00,1.51E-01,,
2.41E+00,1.53E-01,,
2.41E+00,1.44E-01,,
2.41E+00,1.39E-01,,
2.40E+00,1.31E-01,,
2.40E+00,1.34E-01,,
2.40E+00,1.77E-01,,
2.39E+00,2.38E-01,,
2.39E+00,3.43E-01,,
2.39E+00,4.28E-01,,
2.38E+00,5.02E-01,,
2.37E+00,3.64E-01,,
2.36E+00,1.53E-01,,
2.35E+00,1.05E-01,,
2.35E+00,1.17E-01,,
2.34E+00,1.27E-01,,
2.34E+00,1.16E-01,,
2.34E+00,1.26E-01,,
2.35E+00,1.17E-01,,
2.35E+00,1.01E-01,,
2.38E+00,5.04E-01,,
2.38E+00,5.12E-01,,
2.38E+00,4.95E-01,,
2.38E+00,5.01E-01,,
2.38E+00,4.84E-01,,
2.38E+00,4.86E-01,,
2.38E+00,4.97E-01,,
2.38E+00,5.14E-01,,
2.38E+00,4.77E-01,,
2.38E+00,5.01E-01,,
2.38E+00,5.01E-01,,
2.37E+00,4.31E-01,,
2.37E+00,3.80E-01,,
2.38E+00,4.72E-01,,
2.39E+00,2.83E-01,,
2.38E+00,4.95E-01,,
2.38E+00,5.00E-01,,
2.37E+00,3.19E-01,,
2.37E+00,2.35E-01,,
2.36E+00,1.76E-01,,
2.36E+00,7.39E-02,,
2.36E+00,5.50E-02,,
2.35E+00,8.19E-02,,
2.35E+00,9.86E-02,,
2.34E+00,1.25E-01,,
2.34E+00,1.12E-01,,
2.33E+00,7.97E-02,,
2.33E+00,5.18E-02,,
2.32E+00,5.62E-02,,
2.32E+00,8.48E-02,,