Voltage_0,Current_0,,
2.32E+00,6.43E-02,,
2.31E+00,6.92E-02,,
2.31E+00,6.61E-02,,
2.31E+00,6.13E-02,,
2.30E+00,5.35E-02,,
2.30E+00,5.74E-02,,
2.29E+00,5.22E-02,,
2.29E+00,5.59E-02,,
2.28E+00,6.20E-02,,
2.33E+00,5.88E-02,,
2.32E+00,6.32E-02,,
2.32E+00,6.32E-02,,
2.31E+00,7.55E-02,,
2.31E+00,2.09E-01,,
2.83E+00,6.63E-02,,
2.83E+00,6.68E-02,,
2.82E+00,6.61E-02,,
2.82E+00,6.77E-02,,
2.81E+00,5.71E-02,,
2.80E+00,6.29E-02,,
2.80E+00,5.43E-02,,
2.79E+00,4.61E-02,,
2.78E+00,4.56E-02,,
2.77E+00,5.21E-02,,
2.76E+00,6.21E-02,,
2.76E+00,7.02E-02,,
2.75E+00,6.83E-02,,
2.74E+00,7.70E-02,,
2.74E+00,7.21E-02,,
2.73E+00,8.13E-02,,
2.72E+00,7.12E-02,,
2.71E+00,7.47E-02,,
2.70E+00,7.92E-02,,
2.70E+00,7.51E-02,,
2.69E+00,6.81E-02,,
2.67E+00,5.74E-02,,
2.66E+00,4.48E-02,,
2.65E+00,4.84E-02,,
2.65E+00,4.84E-02,,
2.64E+00,5.25E-02,,
2.63E+00,5.13E-02,,
2.62E+00,5.61E-02,,
2.62E+00,5.64E-02,,
2.61E+00,6.19E-02,,
2.61E+00,5.92E-02,,
2.60E+00,6.44E-02,,
2.59E+00,6.92E-02,,
2.58E+00,7.89E-02,,
2.58E+00,8.24E-02,,
2.57E+00,7.99E-02,,
2.56E+00,7.36E-02,,
2.55E+00,5.82E-02,,
2.54E+00,4.94E-02,,
2.53E+00,4.84E-02,,
2.53E+00,4.65E-02,,
2.52E+00,4.51E-02,,
2.51E+00,4.61E-02,,
2.51E+00,4.79E-02,,
2.50E+00,4.92E-02,,
2.50E+00,5.50E-02,,
2.49E+00,5.94E-02,,
2.48E+00,6.69E-02,,
2.48E+00,7.16E-02,,
2.47E+00,8.22E-02,,
2.46E+00,7.96E-02,,
2.46E+00,8.47E-02,,
2.45E+00,8.35E-02,,
2.44E+00,7.80E-02,,
2.43E+00,7.01E-02,,
2.43E+00,6.49E-02,,
2.43E+00,5.73E-02,,
2.42E+00,5.54E-02,,
2.41E+00,4.96E-02,,
2.41E+00,4.96E-02,,
2.40E+00,4.56E-02,,
2.39E+00,4.48E-02,,
2.39E+00,4.53E-02,,
2.38E+00,4.83E-02,,
2.37E+00,4.74E-02,,
2.36E+00,5.29E-02,,
2.36E+00,5.94E-02,,
2.35E+00,5.42E-02,,
2.34E+00,5.80E-02,,
2.34E+00,6.22E-02,,
2.33E+00,6.52E-02,,
2.32E+00,7.89E-02,,
2.32E+00,1.37E-01,,